encodeur,condition,variante,vrai,predit,n
FOETAL ep50,source,brute,thyroide,cardiaque,15
FOETAL ep50,source,brute,thyroide,thyroide,821
FOETAL ep50,source,brute,thyroide,sein,301
FOETAL ep50,source,brute,sein,foetal,32
FOETAL ep50,source,brute,sein,cardiaque,1
FOETAL ep50,source,brute,sein,thyroide,204
FOETAL ep50,source,brute,sein,sein,919
FOETAL ep100,image,equilibree,foetal,foetal,627
FOETAL ep100,image,equilibree,foetal,cardiaque,0
FOETAL ep100,image,equilibree,foetal,thyroide,1
FOETAL ep100,image,equilibree,foetal,sein,2
FOETAL ep100,image,equilibree,cardiaque,foetal,0
FOETAL ep100,image,equilibree,cardiaque,cardiaque,540
FOETAL ep100,image,equilibree,cardiaque,thyroide,0
FOETAL ep100,image,equilibree,cardiaque,sein,0
FOETAL ep100,image,equilibree,thyroide,foetal,1
FOETAL ep100,image,equilibree,thyroide,cardiaque,0
FOETAL ep100,image,equilibree,thyroide,thyroide,353
FOETAL ep100,image,equilibree,thyroide,sein,6
FOETAL ep100,image,equilibree,sein,foetal,0
FOETAL ep100,image,equilibree,sein,cardiaque,0
FOETAL ep100,image,equilibree,sein,thyroide,5
FOETAL ep100,image,equilibree,sein,sein,342
FOETAL ep100,image,brute,foetal,foetal,627
FOETAL ep100,image,brute,foetal,cardiaque,0
FOETAL ep100,image,brute,foetal,thyroide,1
FOETAL ep100,image,brute,foetal,sein,2
FOETAL ep100,image,brute,cardiaque,foetal,0
FOETAL ep100,image,brute,cardiaque,cardiaque,540
FOETAL ep100,image,brute,cardiaque,thyroide,0
FOETAL ep100,image,brute,cardiaque,sein,0
FOETAL ep100,image,brute,thyroide,foetal,1
FOETAL ep100,image,brute,thyroide,cardiaque,0
FOETAL ep100,image,brute,thyroide,thyroide,354
FOETAL ep100,image,brute,thyroide,sein,5
FOETAL ep100,image,brute,sein,foetal,0
FOETAL ep100,image,brute,sein,cardiaque,0
FOETAL ep100,image,brute,sein,thyroide,5
FOETAL ep100,image,brute,sein,sein,342
FOETAL ep100,source,equilibree,foetal,foetal,1304
FOETAL ep100,source,equilibree,foetal,cardiaque,569
FOETAL ep100,source,equilibree,foetal,thyroide,109
FOETAL ep100,source,equilibree,foetal,sein,118
FOETAL ep100,source,equilibree,cardiaque,foetal,765
FOETAL ep100,source,equilibree,cardiaque,cardiaque,830
FOETAL ep100,source,equilibree,cardiaque,thyroide,145
FOETAL ep100,source,equilibree,cardiaque,sein,60
FOETAL ep100,source,equilibree,thyroide,foetal,61
FOETAL ep100,source,equilibree,thyroide,cardiaque,14
FOETAL ep100,source,equilibree,thyroide,thyroide,797
FOETAL ep100,source,equilibree,thyroide,sein,328
FOETAL ep100,source,equilibree,sein,foetal,33
FOETAL ep100,source,equilibree,sein,cardiaque,3
FOETAL ep100,source,equilibree,sein,thyroide,204
FOETAL ep100,source,equilibree,sein,sein,916
FOETAL ep100,source,brute,foetal,foetal,1340
FOETAL ep100,source,brute,foetal,cardiaque,541
FOETAL ep100,source,brute,foetal,thyroide,102
FOETAL ep100,source,brute,foetal,sein,117
FOETAL ep100,source,brute,cardiaque,foetal,866
FOETAL ep100,source,brute,cardiaque,cardiaque,756
FOETAL ep100,source,brute,cardiaque,thyroide,125
FOETAL ep100,source,brute,cardiaque,sein,53
FOETAL ep100,source,brute,thyroide,foetal,63
FOETAL ep100,source,brute,thyroide,cardiaque,18
FOETAL ep100,source,brute,thyroide,thyroide,795
FOETAL ep100,source,brute,thyroide,sein,324
FOETAL ep100,source,brute,sein,foetal,38
FOETAL ep100,source,brute,sein,cardiaque,3
FOETAL ep100,source,brute,sein,thyroide,206
FOETAL ep100,source,brute,sein,sein,909
