encodeur,condition,variante,vrai,predit,n
FOETAL ep100,image,brute,cardiaque,cardiaque,539
FOETAL ep100,image,brute,cardiaque,thyroide,0
FOETAL ep100,image,brute,cardiaque,sein,0
FOETAL ep100,image,brute,thyroide,foetal,1
FOETAL ep100,image,brute,thyroide,cardiaque,0
FOETAL ep100,image,brute,thyroide,thyroide,262
FOETAL ep100,image,brute,thyroide,sein,7
FOETAL ep100,image,brute,sein,foetal,1
FOETAL ep100,image,brute,sein,cardiaque,0
FOETAL ep100,image,brute,sein,thyroide,5
FOETAL ep100,image,brute,sein,sein,341
FOETAL ep100,source,equilibree,foetal,foetal,1278
FOETAL ep100,source,equilibree,foetal,cardiaque,307
FOETAL ep100,source,equilibree,foetal,thyroide,110
FOETAL ep100,source,equilibree,foetal,sein,105
FOETAL ep100,source,equilibree,cardiaque,foetal,1037
FOETAL ep100,source,equilibree,cardiaque,cardiaque,598
FOETAL ep100,source,equilibree,cardiaque,thyroide,148
FOETAL ep100,source,equilibree,cardiaque,sein,17
FOETAL ep100,source,equilibree,thyroide,foetal,69
FOETAL ep100,source,equilibree,thyroide,cardiaque,4
FOETAL ep100,source,equilibree,thyroide,thyroide,706
FOETAL ep100,source,equilibree,thyroide,sein,121
FOETAL ep100,source,equilibree,sein,foetal,44
FOETAL ep100,source,equilibree,sein,cardiaque,1
FOETAL ep100,source,equilibree,sein,thyroide,174
FOETAL ep100,source,equilibree,sein,sein,937
FOETAL ep100,source,brute,foetal,foetal,1301
FOETAL ep100,source,brute,foetal,cardiaque,313
FOETAL ep100,source,brute,foetal,thyroide,87
FOETAL ep100,source,brute,foetal,sein,99
FOETAL ep100,source,brute,cardiaque,foetal,1103
FOETAL ep100,source,brute,cardiaque,cardiaque,549
FOETAL ep100,source,brute,cardiaque,thyroide,131
FOETAL ep100,source,brute,cardiaque,sein,17
FOETAL ep100,source,brute,thyroide,foetal,68
FOETAL ep100,source,brute,thyroide,cardiaque,5
FOETAL ep100,source,brute,thyroide,thyroide,706
FOETAL ep100,source,brute,thyroide,sein,121
FOETAL ep100,source,brute,sein,foetal,46
FOETAL ep100,source,brute,sein,cardiaque,1
FOETAL ep100,source,brute,sein,thyroide,162
FOETAL ep100,source,brute,sein,sein,947
